O*NET-SOC Code	Alternate Title	Short Title	Source(s)
11-2011.01	Green Marketing Analyst	n/a	08
11-2011.01	Marketing Communications Specialist	n/a	08
11-2021.00	Account Supervisor	n/a	02
11-2021.00	Brand Manager	n/a	02,08
11-2021.00	Bridal Consultant	n/a	08
11-2021.00	Business Developer	n/a	09
11-2021.00	Business Development Director	n/a	02,09
11-2021.00	Business Development Manager	n/a	02
11-2021.00	Business Development Specialist	n/a	09
11-2021.00	Channel Manager	n/a	09
11-2021.00	Commercial Director	n/a	09
11-2021.00	Commercial Lines Manager	n/a	02
11-2021.00	Community Relations Director	n/a	09
11-2021.00	Fashion Coordinator	n/a	04,06,08
11-2021.00	Fashion Marketer	n/a	09
11-2021.00	Head of Marketing	n/a	01
11-2021.00	International Trade Specialist	n/a	09
11-2021.00	Internet Marketing Manager	n/a	04,09
11-2021.00	Market Analysis Director	n/a	09
11-2021.00	Market Development Executive	n/a	02
11-2021.00	Market Research Manager	n/a	09
11-2021.00	Marketing Administrator	n/a	04,09
11-2021.00	Marketing Agent	n/a	04,06
11-2021.00	Marketing Assistant	n/a	08
11-2021.00	Marketing Communications Specialist	n/a	08
11-2021.00	Marketing Coordinator	n/a	02
11-2021.00	Marketing Director	n/a	02,04,06
11-2021.00	Marketing Executive	n/a	08
11-2021.00	Marketing Manager	n/a	02,04,08
11-2021.00	Marketing Officer	n/a	08
11-2021.00	Marketing Planner	n/a	09
11-2021.00	Marketing Sales Supervisor	n/a	09
11-2021.00	Media Marketing Director	n/a	08
11-2021.00	Media Planner	n/a	08
11-2021.00	Membership Administrator	n/a	08
11-2021.00	Membership Director	n/a	08
11-2021.00	Pricing Analyst	n/a	09
11-2021.00	Pricing Manager	n/a	09
11-2021.00	Pricing Specialist	n/a	09
11-2021.00	Product Line Manager (PLM)	PLM	09
11-2021.00	Product Manager	n/a	02
11-2021.00	Sales and Marketing Manager	n/a	08
11-2021.00	Sales and Marketing Vice President	n/a	02
11-2021.00	Sales Marketing Director	n/a	09
11-2021.00	Sales Officer	n/a	09
11-2021.00	Sports Marketer	n/a	09
11-2021.00	Strategic Planner	n/a	09
11-2021.00	Strategist	n/a	09
11-2021.00	Sustainable Products Marketing Manager	n/a	08
11-2021.00	Trade Specialist	n/a	09
11-2021.00	VP Marketing	n/a	04
11-2021.00	World Trade and Maritime Division Manager	n/a	08
11-2022.00	Area Sales Manager	n/a	10
11-2022.00	Artist Relationship Manager	n/a	09
11-2022.00	Auto Dealer (Automobile Dealer)	Auto Dealer	08
11-2022.00	Business Developer	n/a	09
11-2022.00	Business Development Director	n/a	09
11-2022.00	Business Development Executive	n/a	09
11-2022.00	Business Development Manager	n/a	10
11-2022.00	Business Development Officer	n/a	09
11-2022.00	Business Development Specialist	n/a	09
11-2022.00	Car Dealer	n/a	08
11-2022.00	Channel Manager	n/a	09
11-2022.00	Clothier	n/a	04,06
11-2022.00	Commercial Director	n/a	09
11-2022.00	Contracts Specialist	n/a	09
11-2022.00	Dealership Manager	n/a	04,06
11-2022.00	Department Store Manager	n/a	04,06
11-2022.00	Director of Business Development	n/a	09
11-2022.00	Director of Sales	n/a	02,04,06
11-2022.00	Director of Sales and Marketing	n/a	09
11-2022.00	Director of Sales Marketing	n/a	09
11-2022.00	District Manager	n/a	04,06
11-2022.00	District Sales Manager	n/a	02,04
11-2022.00	Division Head	n/a	04,06
11-2022.00	Division Manager	n/a	04,06
11-2022.00	E-Commerce Director	n/a	01,04
11-2022.00	Export Manager	n/a	04,06,08
11-2022.00	Field Representative	n/a	08
11-2022.00	General Manager	n/a	02
11-2022.00	Global Account Manager (GAM)	GAM	09
11-2022.00	Hotel Sales Manager	n/a	08
11-2022.00	Import Export Manager	n/a	09
11-2022.00	Importer Exporter	n/a	09
11-2022.00	Inside Sales Manager	n/a	09
11-2022.00	International Trade Specialist	n/a	09
11-2022.00	Liquidator	n/a	04,06
11-2022.00	Marketing Sales Supervisor	n/a	09
11-2022.00	National Account Manager	n/a	10
11-2022.00	Product Distribution Specialist	n/a	08
11-2022.00	Professional Equipment Sales and Service Manager	n/a	08
11-2022.00	Regional Director	n/a	10
11-2022.00	Regional Manager	n/a	01
11-2022.00	Regional Sales Manager	n/a	02,04,06
11-2022.00	Retail Chain Store Area Supervisor	n/a	08
11-2022.00	Retail District Manager	n/a	09
11-2022.00	Sales Account Manager	n/a	04,09
11-2022.00	Sales Administrator	n/a	08
11-2022.00	Sales and Marketing Manager	n/a	08
11-2022.00	Sales and Marketing Vice President	n/a	02
11-2022.00	Sales Coordinator	n/a	04,06
11-2022.00	Sales Director	n/a	04,06
11-2022.00	Sales Manager	n/a	02
11-2022.00	Sales Officer	n/a	09
11-2022.00	Sales Promotion Manager	n/a	09
11-2022.00	Sales Representative	n/a	02
11-2022.00	Sales Supervisor	n/a	02,04
11-2022.00	Sales Vice President	n/a	09
11-2022.00	Store Manager	n/a	01,02
11-2022.00	Territory Sales Manager	n/a	04,09
11-2022.00	Utility Sales and Service Manager	n/a	08
11-2022.00	Vehicle Leasing and Rental Manager	n/a	08
11-2022.00	Vice President of Sales	n/a	02
11-2022.00	Vice President Worldwide Sales	n/a	02
11-2022.00	Zone Manager	n/a	01
11-2031.00	Account Executive	n/a	02
11-2031.00	Account Manager	n/a	02
11-2031.00	Account Supervisor	n/a	02
11-2031.00	Alumni Relations Coordinator	n/a	02
11-2031.00	Business Development Director	n/a	02
11-2031.00	Campaign Manager	n/a	10
11-2031.00	Communication Manager	n/a	02,04
11-2031.00	Communications Coordinator	n/a	02
11-2031.00	Communications Director	n/a	02
11-2031.00	Communications Manager	n/a	02
11-2031.00	Community Relations Director	n/a	02,09
11-2031.00	Customer Service Manager	n/a	04,06
11-2031.00	Development Director	n/a	02,08
11-2031.00	Development Officer	n/a	02
11-2031.00	Director of Communications	n/a	02
11-2031.00	Director of Development and Public Relations	n/a	08
11-2031.00	Director of Information	n/a	04,06
11-2031.00	Director of Marketing and Public Relations	n/a	02
11-2031.00	Director of Public Affairs	n/a	02
11-2031.00	Director of Public Information	n/a	04,06
11-2031.00	Director of Public Relations	n/a	02,04,06
11-2031.00	Executive Counselor	n/a	02
11-2031.00	Fund Raiser	n/a	08
11-2031.00	Fundraising Director	n/a	04,08
11-2031.00	Fundraising Manager	n/a	04,06
11-2031.00	Funds Development Director	n/a	08
11-2031.00	Image Consultant	n/a	09
11-2031.00	Information Director	n/a	04,06
11-2031.00	Information Officer	n/a	02
11-2031.00	Major Gifts Director	n/a	10
11-2031.00	Major Gifts Officer	n/a	09
11-2031.00	Marketing Communications Manager	n/a	10
11-2031.00	Marketing Director	n/a	02
11-2031.00	Media Relations Director	n/a	02
11-2031.00	Public Affairs Director	n/a	02,04,06
11-2031.00	Public Affairs Specialist	n/a	02
11-2031.00	Public Information Director	n/a	04,06
11-2031.00	Public Information Officer	n/a	02,09
11-2031.00	Public Information Relations Manager	n/a	04,06
11-2031.00	Public Relations Coordinator	n/a	09
11-2031.00	Public Relations Director	n/a	02,04,06
11-2031.00	Public Relations Manager (PR Manager)	PR Manager	02,04
11-2031.00	Public Relations Representative	n/a	08
11-2031.00	Public Relations Supervisor	n/a	04,06
11-2031.00	Publicity Director	n/a	04,06
11-2031.00	Publicity Manager	n/a	04,06
11-2031.00	Relationship Manager	n/a	09
11-2031.00	Underwriter Solicitation Director	n/a	08
11-2031.00	University Relations Director	n/a	02
11-3011.00	Administrative Assistant	n/a	02
11-3011.00	Administrative Coordinator	n/a	02
11-3011.00	Administrative Director	n/a	02
11-3011.00	Administrative Manager	n/a	02
11-3011.00	Administrative Officer	n/a	02
11-3011.00	Administrative Secretary	n/a	02
11-3011.00	Administrative Services Director	n/a	02
11-3011.00	Administrative Services Manager	n/a	02,04
11-3011.00	Administrative Specialist	n/a	02
11-3011.00	Administrator	n/a	02
11-3011.00	Assistant Manager	n/a	10
11-3011.00	Assisted Living Administrator	n/a	09
11-3011.00	Building Manager	n/a	04,06
11-3011.00	Buildings And Grounds Manager	n/a	02
11-3011.00	Business Administrator	n/a	02,09
11-3011.00	Business Coordinator	n/a	09
11-3011.00	Business Manager	n/a	02
11-3011.00	Business Office Manager	n/a	04,09
11-3011.00	Business Unit Manager	n/a	04,09
11-3011.00	Chief Administrative Officer	n/a	09
11-3011.00	Church Administrator	n/a	09
11-3011.00	Court Administrator	n/a	08
11-3011.00	Customer Service Representative	n/a	02
11-3011.00	Dental Office Manager	n/a	09
11-3011.00	Director of Operations	n/a	02
11-3011.00	Director of Records Management	n/a	04,06
11-3011.00	Facilities Coordinator	n/a	09
11-3011.00	Facilities Director	n/a	10
11-3011.00	Facilities Manager	n/a	04,06
11-3011.00	Facility Coordinator	n/a	09
11-3011.00	General Manager	n/a	02
11-3011.00	Imaging Services Director	n/a	08
11-3011.00	Maintenance Manager	n/a	10
11-3011.00	Maintenance Superintendent	n/a	04,06
11-3011.00	Medical Office Administrator	n/a	09
11-3011.00	Medical Office Manager	n/a	08
11-3011.00	Office Manager	n/a	02
11-3011.00	Operations Administrator	n/a	09
11-3011.00	Operations Coordinator	n/a	02
11-3011.00	Operations Director	n/a	02
11-3011.00	Operations Specialist	n/a	08
11-3011.00	Practice Manager	n/a	08
11-3011.00	Property Disposal Manager	n/a	04,06
11-3011.00	Property Disposal Officer	n/a	08
11-3011.00	Property Utilization Manager	n/a	04,06
11-3011.00	Radiology Administrator	n/a	08
11-3011.00	Records and Information Manager	n/a	04
11-3011.00	Records Management Director	n/a	04
11-3011.00	Secretary	n/a	02
11-3011.00	Service Director	n/a	08
11-3011.00	Space Officer	n/a	04,06
11-3011.00	Superintendent, Maintenance, Managerial	n/a	04,06
11-3011.00	Unclaimed Property Officer	n/a	08
11-3021.00	Application Development Director	n/a	04
11-3021.00	Business Analyst	n/a	02
11-3021.00	Business Intelligence Systems Manager	n/a	02
11-3021.00	Chief Information Officer	n/a	08
11-3021.00	Chief Innovation Officer	n/a	08
11-3021.00	Chief Technical Officer	n/a	08
11-3021.00	Chief Technology Officer (CTO)	CTO	04,06,07,09
11-3021.00	Computer Operations Manager	n/a	04,06,07,08
11-3021.00	Computer Programming Manager	n/a	04,06,07
11-3021.00	Computer Project Manager	n/a	06
11-3021.00	Computer Security Manager	n/a	04
11-3021.00	Computer Systems Director of Information	n/a	04,06,07
11-3021.00	Computing Services Director	n/a	02
11-3021.00	Data Center Manager	n/a	09
11-3021.00	Data Operations Director	n/a	04
11-3021.00	Data Processing Manager	n/a	02,04,06,07,08
11-3021.00	Data Systems Manager	n/a	04,06,07
11-3021.00	Data Warehouse Architect	n/a	09
11-3021.00	Database Development and Administration Project Manager	n/a	01
11-3021.00	Development Manager	n/a	08
11-3021.00	Director of Application Development	n/a	02
11-3021.00	Director of Data Operations	n/a	02
11-3021.00	Director of Information Technology	n/a	09
11-3021.00	Director of Network	n/a	04,06,07
11-3021.00	Director of Technology	n/a	08
11-3021.00	Enterprise Integration Manager	n/a	02
11-3021.00	Enterprise Resource Planner	n/a	06
11-3021.00	Financial Engineer	n/a	09
11-3021.00	Head of Computer Operations/Technical Services	n/a	01
11-3021.00	Head of Information Systems and Data Processing	n/a	01
11-3021.00	Head of Systems Applications Programming	n/a	01
11-3021.00	Health Informatics Specialist	n/a	08
11-3021.00	Health Information Administrator	n/a	09
11-3021.00	Health Information Technologist	n/a	08
11-3021.00	Information Security Manager	n/a	09
11-3021.00	Information Services Manager	n/a	09
11-3021.00	Information Support Project Manager	n/a	01
11-3021.00	Information Systems Administrator	n/a	09
11-3021.00	Information Systems Director (IS Director)	IS Director	02,04
11-3021.00	Information Systems Manager (IS Manager)	IS Manager	02,04,06,07
11-3021.00	Information Systems Planner	n/a	08
11-3021.00	Information Systems Supervisor (IS Supervisor)	IS Supervisor	02
11-3021.00	Information Technology Administrator (IT Administrator)	IT Administrator	09
11-3021.00	Information Technology Analyst (IT Analyst)	IT Analyst	09
11-3021.00	Information Technology Consultant (IT Consultant)	IT Consultant	08
11-3021.00	Information Technology Coordinator (IT Coordinator)	IT Coordinator	08
11-3021.00	Information Technology Director (IT Director)	IT Director	02,04,09
11-3021.00	Information Technology Manager (IT Manager)	IT Manager	02
11-3021.00	Information Technology Planning and Policy Analyst	n/a	06,07
11-3021.00	Information Technology Specialist (IT Specialist)	IT Specialist	02,08
11-3021.00	Information Technology Systems Director (ITS Director)	ITS Director	02,04
11-3021.00	Interactive Media Project Manager	n/a	01
11-3021.00	Internet and E-Business Project Manager	n/a	01
11-3021.00	Internet Technology Manager	n/a	04,06,07
