<?[a-z0-9._%+-]+@[a-z0-9.-]+\.[a-z]{2,4}>?	EMAIL	2
< [a-z0-9._%+-]+@[a-z0-9.-]+\.[a-z]{2,4} >	EMAIL	2
((([a-za-z]{3,9}:(?:\\?\/\\?\/)?)(?:[-;:&=\+\$,\w]+@)?[a-za-z0-9.-]+|(?:www.|[-;:&=\+\$,\w]+@)[a-za-z0-9.-]+)(?::[0-9]+)?((?:\\?\/[\+~%\\?\/.\w_-]*)?\??(?:[-\+=&;%@.\w_]*)#?(?:[.\!\\?\/\\w]*))?)	URL	1
.*\.(ca|gov|com|edu|net|org|uk|us)	URL	1
channel-islander	NATIONALITY	MISC,COUNTRY,LOCATION	2
congolese	NATIONALITY	MISC,COUNTRY,LOCATION	1
costa rican	NATIONALITY	MISC,COUNTRY,LOCATION	2
costa-rican	NATIONALITY	MISC,COUNTRY,LOCATION	2
cypriote	NATIONALITY	MISC,COUNTRY,LOCATION	1
djiboutian	NATIONALITY	MISC,COUNTRY,LOCATION	1
dutch	NATIONALITY	MISC,COUNTRY,LOCATION	1
dutchman	NATIONALITY	MISC,COUNTRY,LOCATION	1
dutchwomen	NATIONALITY	MISC,COUNTRY,LOCATION	1
ecuadoran	NATIONALITY	MISC,COUNTRY,LOCATION	1
ecuadorian	NATIONALITY	MISC,COUNTRY,LOCATION	1
el salvadoran	NATIONALITY	MISC,COUNTRY,LOCATION	2
el-salvadoran	NATIONALITY	MISC,COUNTRY,LOCATION	2
emirati	NATIONALITY	MISC,COUNTRY,LOCATION	1
english	NATIONALITY	MISC,COUNTRY,LOCATION	1
european	NATIONALITY	MISC,COUNTRY,LOCATION	1
ghanese	NATIONALITY	MISC,COUNTRY,LOCATION	1
ghanian	NATIONALITY	MISC,COUNTRY,LOCATION	1
gibraltar	NATIONALITY	MISC,COUNTRY,LOCATION	1
greenlander	NATIONALITY	MISC,COUNTRY,LOCATION	1
greenlandic	NATIONALITY	MISC,COUNTRY,LOCATION	1
guadeloupian	NATIONALITY	MISC,COUNTRY,LOCATION	1
guamanian	NATIONALITY	MISC,COUNTRY,LOCATION	1
honduranean	NATIONALITY	MISC,COUNTRY,LOCATION	1
honduranian	NATIONALITY	MISC,COUNTRY,LOCATION	1
icelandic	NATIONALITY	MISC,COUNTRY,LOCATION	1
ivoirian	NATIONALITY	MISC,COUNTRY,LOCATION	1
kazakh	NATIONALITY	MISC,COUNTRY,LOCATION	1
kyrgyzstani	NATIONALITY	MISC,COUNTRY,LOCATION	1
luxembourger	NATIONALITY	MISC,COUNTRY,LOCATION	1
luxembourgian	NATIONALITY	MISC,COUNTRY,LOCATION	1
luxemburger	NATIONALITY	MISC,COUNTRY,LOCATION	1
luxemburgian	NATIONALITY	MISC,COUNTRY,LOCATION	1
mahorais	NATIONALITY	MISC,COUNTRY,LOCATION	1
mahoran	NATIONALITY	MISC,COUNTRY,LOCATION	1
maldivian	NATIONALITY	MISC,COUNTRY,LOCATION	1
martiniquais	NATIONALITY	MISC,COUNTRY,LOCATION	1
mauretanian	NATIONALITY	MISC,COUNTRY,LOCATION	1
moldavian	NATIONALITY	MISC,COUNTRY,LOCATION	1
moldovan	NATIONALITY	MISC,COUNTRY,LOCATION	1
myanmar	NATIONALITY	MISC,COUNTRY,LOCATION	1
netherland	NATIONALITY	MISC,COUNTRY,LOCATION	1
new caledonian	NATIONALITY	MISC,COUNTRY,LOCATION	2
new-caledonian	NATIONALITY	MISC,COUNTRY,LOCATION	2
new zealander	NATIONALITY	MISC,COUNTRY,LOCATION	2
new-zealander	NATIONALITY	MISC,COUNTRY,LOCATION	2
palestinian	NATIONALITY	MISC,COUNTRY,LOCATION	1
papua new guinean	NATIONALITY	MISC,COUNTRY,LOCATION	3
papua-new-guinean	NATIONALITY	MISC,COUNTRY,LOCATION	3
philippine	NATIONALITY	MISC,COUNTRY,LOCATION	1
polynesian	NATIONALITY	MISC,COUNTRY,LOCATION	1
puerto rican	NATIONALITY	MISC,COUNTRY,LOCATION	2
puerto-rican	NATIONALITY	MISC,COUNTRY,LOCATION	2
rwandese	NATIONALITY	MISC,COUNTRY,LOCATION	1
sahraouian	NATIONALITY	MISC,COUNTRY,LOCATION	1
sahrawi	NATIONALITY	MISC,COUNTRY,LOCATION	1
sahrawian	NATIONALITY	MISC,COUNTRY,LOCATION	1
samaon	NATIONALITY	MISC,COUNTRY,LOCATION	1
sao tomean	NATIONALITY	MISC,COUNTRY,LOCATION	2
sao-tomean	NATIONALITY	MISC,COUNTRY,LOCATION	2
saudi arabian	NATIONALITY	MISC,COUNTRY,LOCATION	2
saudi-arabian	NATIONALITY	MISC,COUNTRY,LOCATION	2
scot	NATIONALITY	MISC,COUNTRY,LOCATION	1
senegales	NATIONALITY	MISC,COUNTRY,LOCATION	1
serb	NATIONALITY	MISC,COUNTRY,LOCATION	1
sierra leonean	NATIONALITY	MISC,COUNTRY,LOCATION	2
sierra-leonean	NATIONALITY	MISC,COUNTRY,LOCATION	2
solomon islander	NATIONALITY	MISC,COUNTRY,LOCATION	2
solomon-islander	NATIONALITY	MISC,COUNTRY,LOCATION	2
sri lankan	NATIONALITY	MISC,COUNTRY,LOCATION	2
sri-lankan	NATIONALITY	MISC,COUNTRY,LOCATION	2
surinamese	NATIONALITY	MISC,COUNTRY,LOCATION	1
tajikistani	NATIONALITY	MISC,COUNTRY,LOCATION	1
tobagan	NATIONALITY	MISC,COUNTRY,LOCATION	1
turkman	NATIONALITY	MISC,COUNTRY,LOCATION	1
turkmenian	NATIONALITY	MISC,COUNTRY,LOCATION	1
turkoman	NATIONALITY	MISC,COUNTRY,LOCATION	1
vanuatuan	NATIONALITY	MISC,COUNTRY,LOCATION	1
welsh	NATIONALITY	MISC,COUNTRY,LOCATION	1
welshman	NATIONALITY	MISC,COUNTRY,LOCATION	1
welshwoman	NATIONALITY	MISC,COUNTRY,LOCATION	1
western samoan	NATIONALITY	MISC,COUNTRY,LOCATION	2
western-samoan	NATIONALITY	MISC,COUNTRY,LOCATION	2
yugoslav	NATIONALITY	MISC,COUNTRY,LOCATION	1
zairean	NATIONALITY	MISC,COUNTRY,LOCATION	1
zairian	NATIONALITY	MISC,COUNTRY,LOCATION	1
d'ivoire	NATIONALITY	MISC,COUNTRY,LOCATION	1
activist	TITLE	MISC	1
chairman	TITLE	MISC	1
vocalist	TITLE	MISC	1
songstress	TITLE	MISC	1
pop star	TITLE	MISC	1
pop-star	TITLE	MISC	1
blogger	TITLE	MISC	1
director	TITLE	MISC	1
creator	TITLE	MISC	1
creator/producer	TITLE	MISC	1
general	TITLE	MISC	1
colonel	TITLE	MISC	1
chief warrant officer	TITLE	MISC	1
chief-warrant-officer	TITLE	MISC	1
warrant officer	TITLE	MISC	1
warrant-officer	TITLE	MISC	1
sergeant	TITLE	MISC	1
specialist	TITLE	MISC	1
corporal	TITLE	MISC	1
admiral	TITLE	MISC	1
commodore	TITLE	MISC	1
commander	TITLE	MISC	1
lieutenant	TITLE	MISC	1
lieutenant colonel	TITLE	MISC	1
lieutenant-colonel	TITLE	MISC	1
lieutenant governor	TITLE	MISC	1
lieutenant-governor	TITLE	MISC	1
ensign	TITLE	MISC	1
chief warrant officer	TITLE	MISC	1
chief-warrant-officer	TITLE	MISC	1
warrant officer	TITLE	MISC	1
warrant-officer	TITLE	MISC	1
master chief petty officer	TITLE	MISC	1
master-chief-petty-officer	TITLE	MISC	1
master chief	TITLE	MISC	1
master-chief	TITLE	MISC	1
senior chief petty officer	TITLE	MISC	1
senior-chief-petty-officer	TITLE	MISC	1
senior chief	TITLE	MISC	1
senior-chief	TITLE	MISC	1
chief petty officer	TITLE	MISC	1
chief-petty-officer	TITLE	MISC	1
petty officer 1st class	TITLE	MISC	1
petty-officer-1st-class	TITLE	MISC	1
petty officer	TITLE	MISC	1
petty-officer	TITLE	MISC	1
seaman	TITLE	MISC	1
chief warrant officer	TITLE	MISC	1
chief-warrant-officer	TITLE	MISC	1
warrant officer	TITLE	MISC	1
warrant-officer	TITLE	MISC	1
master gunnery sgt\.	TITLE	MISC	1
master-gunnery-sgt\.	TITLE	MISC	1
gunnery sgt\.	TITLE	MISC	1
gunnery-sgt\.	TITLE	MISC	1
sergeant	TITLE	MISC	1
lance cpl\.	TITLE	MISC	1
lance-cpl\.	TITLE	MISC	1
corporal	TITLE	MISC	1
gen\. of the air force	TITLE	MISC	1
gen\.-of-the-air-force	TITLE	MISC	1
general	TITLE	MISC	1
as for army	TITLE	MISC	1
as-for-army	TITLE	MISC	1
chief warrant officer	TITLE	MISC	1
chief-warrant-officer	TITLE	MISC	1
chief master sgt\.	TITLE	MISC	1
chief-master-sgt\.	TITLE	MISC	1
senior master sgt\.	TITLE	MISC	1
senior-master-sgt\.	TITLE	MISC	1
tech\. sgt\.	TITLE	MISC	1
tech\.-sgt\.	TITLE	MISC	1
sergeant	TITLE	MISC	1
airman 1st class	TITLE	MISC	1
airman-1st-class	TITLE	MISC	1
airman	TITLE	MISC	1
master sgt\.	TITLE	MISC	1
master-sgt\.	TITLE	MISC	1
sergeant major	TITLE	MISC	1
sergeant-major	TITLE	MISC	1
staff sgt\.	TITLE	MISC	1
staff-sgt\.	TITLE	MISC	1
accountant	TITLE	MISC	1
accountant	TITLE	MISC	1
acrobat	TITLE	MISC	1
actor	TITLE	MISC	1
actress	TITLE	MISC	1
actuary	TITLE	MISC	1
acupuncturist	TITLE	MISC	1
administrator	TITLE	MISC	1
aerospace engineer	TITLE	MISC	2
aerospace-engineer	TITLE	MISC	2
air traffic controller	TITLE	MISC	3
air-traffic-controller	TITLE	MISC	3
alchemist	TITLE	MISC	1
alderman	TITLE	MISC	1
ambassador	TITLE	MISC	1
analyst	TITLE	MISC	1
anesthetist	TITLE	MISC	1
anesthesiologist	TITLE	MISC	1
anchorman	TITLE	MISC	1
animator	TITLE	MISC	1
animal trainer	TITLE	MISC	2
animal-trainer	TITLE	MISC	2
announcer	TITLE	MISC	1
antique dealer	TITLE	MISC	2
antique-dealer	TITLE	MISC	2
arborist	TITLE	MISC	1
archaeologist	TITLE	MISC	1
archbishop	TITLE	MISC	1
architect	TITLE	MISC	1
archivist	TITLE	MISC	1
art dealer	TITLE	MISC	2
art-dealer	TITLE	MISC	2
art director	TITLE	MISC	2
art-director	TITLE	MISC	2
artist	TITLE	MISC	1
assayer	TITLE	MISC	1
assessor	TITLE	MISC	1
assistant	TITLE	MISC	1
astrologer	TITLE	MISC	1
astronaut	TITLE	MISC	1
astronomer	TITLE	MISC	1
astrophysicist	TITLE	MISC	1
athlete	TITLE	MISC	1
athletic trainer	TITLE	MISC	2
athletic-trainer	TITLE	MISC	2
attorney	TITLE	MISC	1
auctioneer	TITLE	MISC	1
author	TITLE	MISC	1
automobile racer	TITLE	MISC	2
automobile-racer	TITLE	MISC	2
automotive designer	TITLE	MISC	2
automotive-designer	TITLE	MISC	2
audiologist	TITLE	MISC	1
auditor	TITLE	MISC	1
audio analyser	TITLE	MISC	2
audio-analyser	TITLE	MISC	2
babysitter	TITLE	MISC	1
bachelor	TITLE	MISC	1
bachelorette	TITLE	MISC	1
bacteriologist	TITLE	MISC	1
bailiff	TITLE	MISC	1
baker	TITLE	MISC	1
balloonist	TITLE	MISC	1
bank teller	TITLE	MISC	2
bank-teller	TITLE	MISC	2
banker	TITLE	MISC	1
bar keeper	TITLE	MISC	2
bar-keeper	TITLE	MISC	2
barber	TITLE	MISC	1
bargeman	TITLE	MISC	1
barista	TITLE	MISC	1
barman	TITLE	MISC	1
barrister	TITLE	MISC	1
bartender	TITLE	MISC	1
bassoonist	TITLE	MISC	1
batman	TITLE	MISC	1
beautician	TITLE	MISC	1
beauty specialist	TITLE	MISC	2
beauty-specialist	TITLE	MISC	2
beauty therapist	TITLE	MISC	2
beauty-therapist	TITLE	MISC	2
beekeeper	TITLE	MISC	1
bellhop	TITLE	MISC	1
biographer	TITLE	MISC	1
biologist	TITLE	MISC	1
bishop	TITLE	MISC	1
blacksmith	TITLE	MISC	1
boatman	TITLE	MISC	1
bodyguard	TITLE	MISC	1
boilermaker	TITLE	MISC	1
bookbinder	TITLE	MISC	1
bookkeeper	TITLE	MISC	1
bookseller	TITLE	MISC	1
border patrol police officer	TITLE	MISC	4
border-patrol-police-officer	TITLE	MISC	4
bounty hunter	TITLE	MISC	2
bounty-hunter	TITLE	MISC	2
boxer	TITLE	MISC	1
blacksmith	TITLE	MISC	1
brain surgeon	TITLE	MISC	2
brain-surgeon	TITLE	MISC	2
brewer	TITLE	MISC	1
bricklayer	TITLE	MISC	1
broker	TITLE	MISC	1
builder	TITLE	MISC	1
bureaucrat	TITLE	MISC	1
butcher	TITLE	MISC	1
butler	TITLE	MISC	1
cab driver	TITLE	MISC	2
cab-driver	TITLE	MISC	2
cabinetmaker	TITLE	MISC	1
caddy	TITLE	MISC	1
calligrapher	TITLE	MISC	1
cameraman	TITLE	MISC	1
captain	TITLE	MISC	1
cardinal	TITLE	MISC	1
cardiologist	TITLE	MISC	1
carpenter	TITLE	MISC	1
cartoonist	TITLE	MISC	1
cartographer	TITLE	MISC	1
cashier	TITLE	MISC	1
cellist	TITLE	MISC	1
chancellor	TITLE	MISC	1
chaplain	TITLE	MISC	1
chauffeur	TITLE	MISC	1
chess player	TITLE	MISC	2
chess-player	TITLE	MISC	2
cheesemaker	TITLE	MISC	1
chef	TITLE	MISC	1
chemist	TITLE	MISC	1
chief compliance officer	TITLE	MISC	3
chief-compliance-officer	TITLE	MISC	3
chief engineer	TITLE	MISC	2
chief-engineer	TITLE	MISC	2
chief executive officer	TITLE	MISC	3
chief-executive-officer	TITLE	MISC	3
chief financial officer	TITLE	MISC	3
chief-financial-officer	TITLE	MISC	3
chief information officer	TITLE	MISC	3
chief-information-officer	TITLE	MISC	3
chief technology officer	TITLE	MISC	3
chief-technology-officer	TITLE	MISC	3
chief privacy officer	TITLE	MISC	3
chief-privacy-officer	TITLE	MISC	3
chief of police	TITLE	MISC	3
chief-of-police	TITLE	MISC	3
chimney sweep	TITLE	MISC	2
chimney-sweep	TITLE	MISC	2
chiropodist	TITLE	MISC	1
chiropractor	TITLE	MISC	1
choreographer	TITLE	MISC	1
cinematographer	TITLE	MISC	1
civil servant	TITLE	MISC	2
civil-servant	TITLE	MISC	2
civil engineer	TITLE	MISC	2
civil-engineer	TITLE	MISC	2
clarinetist	TITLE	MISC	1
cleaner	TITLE	MISC	1
clergymen	TITLE	MISC	1
clerk	TITLE	MISC	1
climatologist	TITLE	MISC	1
clockmaker	TITLE	MISC	1
clown	TITLE	MISC	1
coach	TITLE	MISC	1
coachman	TITLE	MISC	1
coast guard	TITLE	MISC	2
coast-guard	TITLE	MISC	2
cobbler	TITLE	MISC	1
columnist	TITLE	MISC	1
comedian	TITLE	MISC	1
company secretary	TITLE	MISC	2
company-secretary	TITLE	MISC	2
compasssmith	TITLE	MISC	1
composer	TITLE	MISC	1
computer programmer	TITLE	MISC	2
computer-programmer	TITLE	MISC	2
computer scientist	TITLE	MISC	2
computer-scientist	TITLE	MISC	2
conductor -lrb-music-rrb-	TITLE	MISC	2
conductor lrb music rrb 	TITLE	MISC	2
conductor--lrb-music-rrb-	TITLE	MISC	2
conductor -lrb-transportation-rrb-	TITLE	MISC	2
conductor lrb transportation rrb 	TITLE	MISC	2
conductor--lrb-transportation-rrb-	TITLE	MISC	2
confectioner	TITLE	MISC	1
conferencier	TITLE	MISC	1
congressman	TITLE	MISC	1
congresswoman	TITLE	MISC	1
construction engineering	TITLE	MISC	2
construction-engineering	TITLE	MISC	2
construction foreman	TITLE	MISC	2
construction-foreman	TITLE	MISC	2
construction worker	TITLE	MISC	2
construction-worker	TITLE	MISC	2
consul	TITLE	MISC	1
consultant	TITLE	MISC	1
controller	TITLE	MISC	1
cosmetologist	TITLE	MISC	1
contractor , general	TITLE	MISC	3
contractor-,-general	TITLE	MISC	3
cook	TITLE	MISC	1
copywriter	TITLE	MISC	1
coroner	TITLE	MISC	1
corrections officer	TITLE	MISC	2
corrections-officer	TITLE	MISC	2
corrector	TITLE	MISC	1
correspondent	TITLE	MISC	1
cosmetologist	TITLE	MISC	1
cosmonaut	TITLE	MISC	1
costume designer	TITLE	MISC	2
costume-designer	TITLE	MISC	2
courier	TITLE	MISC	1
court jester	TITLE	MISC	2
court-jester	TITLE	MISC	2
cowboy	TITLE	MISC	1
crafter	TITLE	MISC	1
crammer	TITLE	MISC	1
cryptographer	TITLE	MISC	1
cryptozoologist	TITLE	MISC	1
curator	TITLE	MISC	1
currier	TITLE	MISC	1
custodian	TITLE	MISC	1
customer service representative	TITLE	MISC	3
customer-service-representative	TITLE	MISC	3
customs officer	TITLE	MISC	2
customs-officer	TITLE	MISC	2
cyclist	TITLE	MISC	1
dancer	TITLE	MISC	1
dealer	TITLE	MISC	1
delivery man	TITLE	MISC	2
delivery-man	TITLE	MISC	2
dental hygienist	TITLE	MISC	2
dental-hygienist	TITLE	MISC	2
dentist	TITLE	MISC	1
deputy -lrb-law enforcement-rrb-	TITLE	MISC	3
deputy lrb law enforcement rrb 	TITLE	MISC	3
deputy--lrb-law-enforcement-rrb-	TITLE	MISC	3
deputy	TITLE	MISC	1
dermatologist	TITLE	MISC	1
demolitionist	TITLE	MISC	1
designer	TITLE	MISC	1
detective	TITLE	MISC	1
dietician	TITLE	MISC	1
dictator	TITLE	MISC	1
diplomat	TITLE	MISC	1
disc jockey	TITLE	MISC	2
disc-jockey	TITLE	MISC	2
dispatcher	TITLE	MISC	1
diver	TITLE	MISC	1
dock labourer	TITLE	MISC	2
dock-labourer	TITLE	MISC	2
doctor	TITLE	MISC	1
documentalist	TITLE	MISC	1
dog walker	TITLE	MISC	2
dog-walker	TITLE	MISC	2
doorman	TITLE	MISC	1
dramatist	TITLE	MISC	1
dressmaker	TITLE	MISC	1
dressman	TITLE	MISC	1
driver	TITLE	MISC	1
drug dealer	TITLE	MISC	2
drug-dealer	TITLE	MISC	2
drummer	TITLE	MISC	1
dj	TITLE	MISC	1
ecologist	TITLE	MISC	1
editor	TITLE	MISC	1
educationalist	TITLE	MISC	1
electrical engineer	TITLE	MISC	2
electrical-engineer	TITLE	MISC	2
electrician	TITLE	MISC	1
escort	TITLE	MISC	1
embalmer	TITLE	MISC	1
engine-driver	TITLE	MISC	1
engine driver	TITLE	MISC	1
engine fitter	TITLE	MISC	2
engine-fitter	TITLE	MISC	2
engineer	TITLE	MISC	1
entertainer	TITLE	MISC	1
entrepreneur	TITLE	MISC	1
environmental scientist	TITLE	MISC	2
environmental-scientist	TITLE	MISC	2
estate agent	TITLE	MISC	2
estate-agent	TITLE	MISC	2
ethnologist	TITLE	MISC	1
ethologist	TITLE	MISC	1
etymologist	TITLE	MISC	1
evangelist	TITLE	MISC	1
examiner	TITLE	MISC	1
executive	TITLE	MISC	1
executor	TITLE	MISC	1
exotic dancer	TITLE	MISC	2
exotic-dancer	TITLE	MISC	2
explorer	TITLE	MISC	1
executioner	TITLE	MISC	1
factory worker	TITLE	MISC	2
factory-worker	TITLE	MISC	2
falconer	TITLE	MISC	1
farmer	TITLE	MISC	1
farrier	TITLE	MISC	1
fashion designer	TITLE	MISC	2
fashion-designer	TITLE	MISC	2
ferryman	TITLE	MISC	1
film critic	TITLE	MISC	2
film-critic	TITLE	MISC	2
film maker	TITLE	MISC	2
film-maker	TITLE	MISC	2
film director	TITLE	MISC	2
film-director	TITLE	MISC	2
film producer	TITLE	MISC	2
film-producer	TITLE	MISC	2
financial adviser	TITLE	MISC	2
financial-adviser	TITLE	MISC	2
fire marshal	TITLE	MISC	2
fire-marshal	TITLE	MISC	2
fire safety officer	TITLE	MISC	3
fire-safety-officer	TITLE	MISC	3
firefighter	TITLE	MISC	1
first mate	TITLE	MISC	2
first-mate	TITLE	MISC	2
fisherman	TITLE	MISC	1
fishmonger	TITLE	MISC	1
fitter	TITLE	MISC	1
flautist	TITLE	MISC	1
flavorist	TITLE	MISC	1
fletcher	TITLE	MISC	1
flight attendant	TITLE	MISC	2
flight-attendant	TITLE	MISC	2
flight instructor	TITLE	MISC	2
flight-instructor	TITLE	MISC	2
flight technician	TITLE	MISC	2
flight-technician	TITLE	MISC	2
flight engineer	TITLE	MISC	2
flight-engineer	TITLE	MISC	2
floor manager	TITLE	MISC	2
floor-manager	TITLE	MISC	2
florist	TITLE	MISC	1
flutist	TITLE	MISC	1
food critic	TITLE	MISC	2
food-critic	TITLE	MISC	2
footballer	TITLE	MISC	1
footman	TITLE	MISC	1
forester	TITLE	MISC	1
fortune teller	TITLE	MISC	2
fortune-teller	TITLE	MISC	2
fowler	TITLE	MISC	1
funeral director	TITLE	MISC	2
funeral-director	TITLE	MISC	2
game designer	TITLE	MISC	2
game-designer	TITLE	MISC	2
game show host	TITLE	MISC	3
game-show-host	TITLE	MISC	3
game warden	TITLE	MISC	2
game-warden	TITLE	MISC	2
gamekeeper	TITLE	MISC	1
gangster	TITLE	MISC	1
garbage collector	TITLE	MISC	2
garbage-collector	TITLE	MISC	2
gardener	TITLE	MISC	1
gate-keeper	TITLE	MISC	1
gate keeper	TITLE	MISC	1
gemcutter	TITLE	MISC	1
genealogist	TITLE	MISC	1
general	TITLE	MISC	1
geographer	TITLE	MISC	1
geologist	TITLE	MISC	1
geometrician	TITLE	MISC	1
geophysicist	TITLE	MISC	1
gigolo	TITLE	MISC	1
gladiator	TITLE	MISC	1
goldsmith	TITLE	MISC	1
gondolier	TITLE	MISC	1
gofer	TITLE	MISC	1
governess	TITLE	MISC	1
government agent	TITLE	MISC	2
government-agent	TITLE	MISC	2
governor	TITLE	MISC	1
grammarian	TITLE	MISC	1
graphic artist	TITLE	MISC	2
graphic-artist	TITLE	MISC	2
graphic designer	TITLE	MISC	2
graphic-designer	TITLE	MISC	2
gravedigger	TITLE	MISC	1
greengrocer	TITLE	MISC	1
grocer	TITLE	MISC	1
guard	TITLE	MISC	1
guide	TITLE	MISC	1
guitarist	TITLE	MISC	1
gunsmith	TITLE	MISC	1
hairdresser	TITLE	MISC	1
hairstylist	TITLE	MISC	1
handyman	TITLE	MISC	1
harbourmaster	TITLE	MISC	1
harpist	TITLE	MISC	1
hatter	TITLE	MISC	1
headmaster	TITLE	MISC	1
headmistress	TITLE	MISC	1
health inspector	TITLE	MISC	2
health-inspector	TITLE	MISC	2
herder	TITLE	MISC	1
historian	TITLE	MISC	1
hitman	TITLE	MISC	1
homeopath	TITLE	MISC	1
hornist	TITLE	MISC	1
host	TITLE	MISC	1
hostess	TITLE	MISC	1
hotel manager	TITLE	MISC	2
hotel-manager	TITLE	MISC	2
hotelier	TITLE	MISC	1
house painter	TITLE	MISC	2
house-painter	TITLE	MISC	2
housekeeper	TITLE	MISC	1
housewife	TITLE	MISC	1
homeowner	TITLE	MISC	1
hunter	TITLE	MISC	1
hydraulic engineer	TITLE	MISC	2
hydraulic-engineer	TITLE	MISC	2
ice cream man	TITLE	MISC	3
ice-cream-man	TITLE	MISC	3
illuminator	TITLE	MISC	1
illusionist	TITLE	MISC	1
illustrator	TITLE	MISC	1
image consultant	TITLE	MISC	2
image-consultant	TITLE	MISC	2
imam	TITLE	MISC	1
imPERSONator	TITLE	MISC	1
importer	TITLE	MISC	1
industrial engineer	TITLE	MISC	2
industrial-engineer	TITLE	MISC	2
industrialist	TITLE	MISC	1
information technologist	TITLE	MISC	2
information-technologist	TITLE	MISC	2
information broker	TITLE	MISC	2
information-broker	TITLE	MISC	2
inker	TITLE	MISC	1
innkeeper	TITLE	MISC	1
instructor	TITLE	MISC	1
insurer	TITLE	MISC	1
intelligence officer	TITLE	MISC	2
intelligence-officer	TITLE	MISC	2
interior designer	TITLE	MISC	2
interior-designer	TITLE	MISC	2
internist	TITLE	MISC	1
interpreter	TITLE	MISC	1
interrogator	TITLE	MISC	1
inventor	TITLE	MISC	1
investment banker	TITLE	MISC	2
investment-banker	TITLE	MISC	2
investment broker	TITLE	MISC	2
investment-broker	TITLE	MISC	2
ironmonger	TITLE	MISC	1
ironmaster	TITLE	MISC	1
