O*NET-SOC Code	Reported Job Title	Shown in My Next Move
11-3031.01	School Treasurer	N
11-3031.01	Treasurer	Y
11-3031.02	Assistant Manager	N
11-3031.02	Assistant Vice President (AVP)	N
11-3031.02	Banking Center Manager (BCM)	Y
11-3031.02	Banking Officer	N
11-3031.02	Branch Manager	Y
11-3031.02	Credit Administration Manager	Y
11-3031.02	Financial Center Manager	N
11-3031.02	Regional Manager	N
11-3031.02	Service Center Manager	N
11-3031.02	Vice President	Y
11-3051.00	Area Plant Manager	N
11-3051.00	General Production Manager	N
11-3051.00	Manufacturing Coordinator	N
11-3051.00	Manufacturing Manager	Y
11-3051.00	Plant Manager	Y
11-3051.00	Plant Senior Manager	N
11-3051.00	Product Line Manager	N
11-3051.00	Production Control Manager	Y
11-3051.00	Production Manager	Y
11-3051.00	Sub Plant Manager	N
11-3051.01	Associate Director, QA	N
11-3051.01	Director of Quality	N
11-3051.01	Lab Manager	Y
11-3051.01	Laboratory Manager	N
11-3051.01	QA Manager	N
11-3051.01	Quality Assurance Manager	Y
11-3051.01	Quality Control	N
11-3051.01	Quality Control Manager	Y
11-3051.01	Quality Control Supervisor	N
11-3051.01	Quality Manager	Y
11-3051.02	Maintenance Manager	Y
11-3051.02	Operations Manager	Y
11-3051.02	Operations Supervisor	Y
11-3051.02	Plant Manager	Y
11-3051.02	Plant Supervisor	N
11-3051.02	Power Plant Operations Manager	N
11-3051.02	Site Manager	N
11-3051.04	Fuel Manager	N
11-3051.04	Maintenance Manager	Y
11-3051.04	Maintenance Supervisor	Y
11-3051.04	Operations and Maintenance Manager	N
11-3051.04	Operations Manager	Y
11-3051.04	Operations Supervisor	N
11-3051.04	Plant Manager	Y
11-3051.04	Production Supervisor	N
11-3051.04	Production Support Manager	N
11-3051.04	Production Support Supervisor	N
11-3061.00	Commodity Manager	Y
11-3061.00	Director of Materials	N
11-3061.00	Director of Purchasing	Y
11-3061.00	Director of Strategic Sourcing	N
11-3061.00	Materials Manager	Y
11-3061.00	Procurement Manager	N
11-3061.00	Procurement Officer	N
11-3061.00	Purchasing Director	N
11-3061.00	Purchasing Manager	Y
11-3061.00	Purchasing Supervisor	N
11-3071.01	Director of Operations	N
11-3071.01	Fleet Manager	Y
11-3071.01	Freight Coordinator	N
11-3071.01	Global Transportation Manager	N
11-3071.01	Traffic Manager	N
11-3071.01	Train Operations Manager	Y
11-3071.01	Trainmaster	Y
11-3071.01	Transportation Director	N
11-3071.01	Transportation Manager	Y
11-3071.01	Transportation Supervisor	N
11-3071.02	Cold Storage Supervisor	N
11-3071.02	Customer Service Manager	N
11-3071.02	Distribution Center Manager	Y
11-3071.02	Distribution Manager	Y
11-3071.02	Distribution Operation Manager	N
11-3071.02	Load Out Supervisor	N
11-3071.02	Shipping Manager	Y
11-3071.02	Shipping Supervisor	N
11-3071.02	Stores Supervisor	N
11-3071.02	Warehouse Manager	Y
11-3071.03	Global Logistics Manager	Y
11-3071.03	Integrated Logistics Programs Director	Y
11-3071.03	Logistics Manager	Y
11-3071.03	Logistics Solution Manager	Y
11-3071.03	Supply Chain Logistics Manager	N
11-3111.00	Benefits Coordinator	N
11-3111.00	Benefits Manager	Y
11-3111.00	Business Manager	N
11-3111.00	Compensation and Benefits Manager	Y
11-3111.00	Compensation Director	N
11-3111.00	Compensation Manager	Y
11-3111.00	Corporate Controller	N
11-3111.00	Director of Compensation	N
11-3111.00	Human Resources Director	Y
11-3111.00	Office Manager	N
11-3121.00	Director of Human Resources	Y
11-3121.00	Employee Benefits Manager	Y
11-3121.00	Employee Relations Manager	N
11-3121.00	Human Resources Director (HR Director)	Y
11-3121.00	Human Resources Manager (HR Manager)	Y
11-3121.00	Human Resources Vice President	N
11-3131.00	Development Manager	N
11-3131.00	Director of Education	Y
11-3131.00	Director of Educational Services	N
11-3131.00	Director of Staff Development	N
11-3131.00	Education and Development Manager	Y
11-3131.00	Learning Manager	N
11-3131.00	Manager of Staff Training and Development	Y
11-3131.00	Training and Development Coordinator	Y
11-3131.00	Training Director	N
11-3131.00	Training Manager	N
11-9013.01	Farm Manager	N
11-9013.01	Garden Center Manager	N
11-9013.01	Greenhouse Manager	Y
11-9013.01	Grower	Y
11-9013.01	Harvesting Manager	N
11-9013.01	Horticulturist	N
11-9013.01	Nursery Manager	Y
11-9013.01	Perennial House Manager	N
11-9013.01	Production Manager	Y
11-9013.01	Propagation Manager	N
11-9013.02	Accredited Farm Manager (AFM)	N
11-9013.02	Cash Crop Farmer	N
11-9013.02	Dairy Farmer	Y
11-9013.02	Farm Manager	Y
11-9013.02	Farm Operator	N
11-9013.02	Farmer	Y
11-9013.02	Grain Farmer	N
11-9013.02	Ranch Manager	N
11-9013.02	Rancher	Y
11-9013.02	Sow Farm Manager	N
11-9013.03	Aquaculture Cooperative Marketing Director	Y
11-9013.03	Aquaculture Director	Y
11-9013.03	Aquaculture Program Director	Y
11-9013.03	Farm Operations Technical Director	Y
11-9013.03	Finfish Aquaculture Specialist	N
11-9013.03	Hatchery Manager	N
11-9013.03	Recirculating Aquaculture Systems Specialist	N
11-9021.00	Concrete Foreman	N
11-9021.00	Construction Area Manager	N
11-9021.00	Construction Foreman	N
11-9021.00	Construction Manager	Y
11-9021.00	Construction Superintendent	Y
11-9021.00	General Contractor	Y
11-9021.00	Job Superintendent	N
11-9021.00	Project Executive	N
11-9021.00	Project Manager	Y
11-9021.00	Project Superintendent	N
11-9031.00	Administrator	Y
11-9031.00	Child Care Director	N
11-9031.00	Childcare Director	N
11-9031.00	Director	Y
11-9031.00	Early Head Start Director	N
11-9031.00	Education Coordinator	N
11-9031.00	Education Director	N
11-9031.00	Executive Director	N
11-9031.00	Preschool Director	Y
11-9031.00	Site Coordinator	Y
11-9032.00	Assistant Principal	Y
11-9032.00	Athletic Director	N
11-9032.00	Elementary Principal	N
11-9032.00	High School Principal	N
11-9032.00	Middle School Principal	Y
11-9032.00	Principal	Y
11-9032.00	School Administrator	N
11-9032.00	School Superintendent	N
11-9032.00	Special Education Director	N
11-9032.00	Superintendent	Y
11-9033.00	Academic Affairs Dean	N
11-9033.00	Academic Affairs Vice President	N
11-9033.00	Academic Dean	Y
11-9033.00	Admissions Director	N
11-9033.00	College President	N
11-9033.00	Dean	Y
11-9033.00	Dean of Students	N
11-9033.00	Financial Aid Director	N
11-9033.00	Provost	Y
11-9033.00	Registrar	Y
11-9039.01	Chief Learning Officer	Y
11-9039.01	Coordinator of Online Programs	Y
11-9039.01	Director of Distance Learning	N
11-9039.01	Distance Education Faculty Liaison	N
11-9039.01	Distance Learning Coordinator	Y
11-9039.01	Distance Learning Technician	N
11-9039.01	Distance Learning Unit Leader	N
11-9039.01	Head of Academic Technology	N
11-9039.01	Online Facilitator	N
11-9039.01	Program Facilitation Director for Distance Learning	Y
11-9039.02	Chief Wellness Officer	N
11-9039.02	Executive Wellness Programs Director	N
11-9039.02	Fitness and Wellness Director	Y
11-9039.02	Fitness Coordinator	Y
11-9039.02	Fitness Director	N
11-9039.02	Fitness Supervisor	N
11-9039.02	Fitness/Wellness Director	Y
11-9039.02	Group Fitness Manager (GFM)	N
11-9039.02	Recreational Sports Director	N
11-9039.02	Wellness Director	Y
11-9041.00	Chief Engineer	N
11-9041.00	Civil Engineering Manager	N
11-9041.00	Director of Engineering	Y
11-9041.00	Engineering Group Manager	N
11-9041.00	Engineering Manager	Y
11-9041.00	Engineering Program Manager	N
11-9041.00	Principal Engineer	N
11-9041.00	Project Engineer	Y
11-9041.00	Project Engineering Manager	Y
11-9041.00	Project Manager	N
11-9041.01	Analytical Research Program Manager	Y
11-9041.01	Biodiesel Division Manager	N
11-9041.01	Biofuels Manager	N
11-9041.01	Chief Technology Officer (CTO)	Y
11-9041.01	Laboratory Manager (Lab Manager)	N
11-9041.01	Manager of Business Development and New Technology	N
11-9041.01	Project Development Director	Y
11-9041.01	Scientist	N
11-9041.01	Senior Research Associate	N
11-9041.01	Senior Research Scientist	Y
11-9051.00	Banquet Manager	N
11-9051.00	Catering Manager	N
11-9051.00	Director of Food and Beverage	N
11-9051.00	Food and Beverage Manager	Y
11-9051.00	Food Service Director	Y
11-9051.00	Food Service Manager	Y
11-9051.00	Food Service Supervisor	N
11-9051.00	Kitchen Manager	N
11-9051.00	Restaurant General Manager	N
11-9051.00	Restaurant Manager	Y
11-9061.00	Arranging Funeral Director	N
11-9061.00	Assistant Manager of Operations	Y
11-9061.00	Funeral Home Location Manager	N
11-9061.00	Funeral Home Manager	Y
11-9061.00	Funeral Service Manager	Y
11-9061.00	Location Manager	N
11-9061.00	Market Manager	N
11-9061.00	Mortuary Operations Manager	Y
11-9061.00	Sales Manager, Prearranged Funerals	N
11-9061.00	Scheduling Manager	N
11-9071.00	Assistant Casino Shift Manager	N
11-9071.00	Bingo Manager	N
11-9071.00	Casino Manager	Y
11-9071.00	Casino Shift Manager	N
11-9071.00	Gaming Director	N
11-9071.00	Gaming Manager	Y
11-9071.00	Slot Manager	Y
11-9071.00	Slot Operations Director	N
11-9071.00	Table Games Manager	Y
11-9071.00	Table Games Shift Manager	N
11-9081.00	Bed and Breakfast Innkeeper	N
11-9081.00	Director of Front Office	N
11-9081.00	Front Desk Manager	Y
11-9081.00	Front Office Manager	Y
11-9081.00	Hotel Manager	Y
11-9081.00	Night Manager	N
11-9081.00	Resort Manager	Y
11-9081.00	Rooms Director	N
11-9111.00	Clinical Director	N
11-9111.00	Director of Nursing	N
11-9111.00	Health and Social Service Manager	Y
11-9111.00	Medical Records Manager	N
11-9111.00	Mental Health Program Manager	N
11-9111.00	Nurse Manager	Y
11-9111.00	Nutrition Services Manager	N
11-9111.00	Office Manager	Y
11-9111.00	Practice Administrator	N
11-9111.00	Program Manager	Y
11-9121.00	Environmental Program Manager	Y
11-9121.00	Fisheries Director	N
11-9121.00	Health Sciences Manager	N
11-9121.00	Laboratory Manager	N
11-9121.00	Natural Science Manager	Y
11-9121.00	Research and Development Director	N
11-9121.00	Research Manager	N
11-9121.00	Senior Investigator	Y
11-9121.00	Senior Scientist	N
11-9121.00	Water Team Leader	Y
11-9121.01	Clinical Program Coordinator	N
11-9121.01	Clinical Program Manager	Y
11-9121.01	Clinical Research Administrator	N
11-9121.01	Clinical Research Associate (CRA)	Y
11-9121.01	Clinical Research Coordinator	Y
11-9121.01	Clinical Research Manager	N
11-9121.01	Clinical Research Nurse Coordinator	N
11-9121.01	Clinical Trial Coordinator	N
11-9121.01	Clinical Trial Manager	Y
11-9121.01	Research Coordinator	N
11-9121.02	Hydrogeologist	Y
11-9121.02	National Stormwater Leader	N
11-9121.02	Owner, Consulting Engineer	N
11-9121.02	Owner, Professional Engineer	N
11-9121.02	Research Hydraulic Engineer	N
11-9121.02	Senior Group Manager	Y
11-9121.02	Senior Hydrogeologist	Y
11-9121.02	Senior Water Resources Engineer	Y
11-9121.02	VP-Senior Principal Water Resources Engineer	N
11-9121.02	Water Resources Business Segment Leader	N
11-9131.00	Computerized Forwarding System Supervisor	N
11-9131.00	Distribution Operation Supervisor (SDO)	Y
11-9131.00	Distribution Operations Manager	Y
11-9131.00	Mail Delivery Supervisor	N
11-9131.00	Postal Supervisor	N
11-9131.00	Postmaster	Y
11-9131.00	Postmaster Relief (PMR)	N
11-9131.00	Remote Encoding Center Manager	Y
11-9131.00	Remote Encoding Operations Supervisor	N
11-9141.00	Apartment Manager	Y
11-9141.00	Commercial Property Services Coordinator	Y
11-9141.00	Community Manager	N
11-9141.00	Condominium Association Property Manager	N
11-9141.00	Consulting Property Manager	N
11-9141.00	Lease Administration Supervisor	N
11-9141.00	Leasing Manager	N
11-9141.00	On Site Property Manager	N
11-9141.00	Property Manager	Y
11-9141.00	Resident Manager	Y
11-9151.00	Adoption Services Manager	N
11-9151.00	Children's Service Supervisor	N
11-9151.00	Clinical Services Director	N
11-9151.00	Community Services Block Grant/Outreach Social Worker (CSBG/Outreach Social Worker)	N
11-9151.00	Director of Child Welfare Services	N
11-9151.00	Director of Social Services	N
11-9151.00	Program Director	Y
11-9151.00	Program Manager	Y
11-9151.00	Social Services Director	Y
11-9151.00	Vocational Rehabilitation Administrator	Y
11-9161.00	Emergency Management Consultant	N
11-9161.00	Emergency Management Coordinator	Y
11-9161.00	Emergency Management Director	N
11-9161.00	Emergency Management Program Specialist	N
11-9161.00	Emergency Management System Director (EMS Director)	Y
11-9161.00	Emergency Planner	Y
11-9161.00	Emergency Preparedness Coordinator	N
11-9161.00	Emergency Preparedness Program Specialist	Y
11-9161.00	Emergency Preparedness Specialist	N
11-9161.00	Emergency Services Director	N
11-9199.01	Clinical Trials Systems Administrator	Y
11-9199.01	Global Regulatory Affairs Manager	Y
11-9199.01	Regulatory Affairs Director	Y
11-9199.01	Regulatory Affairs Manager	Y
11-9199.01	Regulatory Affairs Portfolio Leader	N
11-9199.01	Regulatory Consultant	N
11-9199.01	Regulatory Leader	N
11-9199.01	Regulatory Product Manager	N
11-9199.02	Business Practices Supervisor	N
11-9199.02	Compliance Coordinator	Y
11-9199.02	Compliance Engineer-Products	N
11-9199.02	Compliance Manager	Y
11-9199.02	Compliance Officer	Y
11-9199.02	Compliance Review Officer	N
11-9199.02	Corporate Operations Compliance Manager	N
11-9199.02	Director of Compliance	Y
11-9199.02	Director, Global Ethics & Compliance and Assistant General Counsel	N
11-9199.02	Internal Review and Audit Compliance	N
11-9199.03	Assistant Vice President, Investment Analysis	N
11-9199.03	Equity Analyst	Y
11-9199.03	Fixed Income Portfolio Manager	N
11-9199.03	Investment Analyst	Y
11-9199.03	Lead Portfolio Manager	N
11-9199.03	Portfolio Manager	Y
11-9199.03	Senior Investment Analyst	Y
11-9199.03	Senior Portfolio Manager	N
11-9199.03	Vice President and Portfolio Manager	N
11-9199.03	Vice President, Fixed Income	N
11-9199.04	Global Supply Chain Director	Y
11-9199.04	Supply Chain Director	Y
11-9199.04	Supply Chain Manager	Y
11-9199.04	Supply Chain Vice President	Y
11-9199.07	Corporate Physical Security Supervisor	N
11-9199.07	Corporate Security Manager	Y
11-9199.07	Director Security Management	N
11-9199.07	Director, Corporate Security	N
11-9199.07	Manager, Security and Safety	Y
11-9199.07	Manager, Security Infrastructure and Enterprise Services	N
11-9199.07	Manager, Security Services and Safety System Support	N
11-9199.07	Security Director	Y
11-9199.07	Security Manager	Y
11-9199.08	Director-Loss Prevention	N
11-9199.08	District Loss Prevention Manager	Y
11-9199.08	Logistics Loss Prevention Manager	N
11-9199.08	Loss Prevention Manager	Y
11-9199.08	Loss Prevention Operations Manager	N
11-9199.08	Loss Prevention/Safety District Manager	N
11-9199.08	Manager of Loss Prevention Operations	N
11-9199.08	Market Asset Protection Manager	N
11-9199.08	Regional Loss Prevention Manager	Y
11-9199.08	Senior Manager, Asset Protection	Y
11-9199.11	Brownfield and Economic Development Director	Y
11-9199.11	Brownfield Program Coordinator	N
11-9199.11	Business Development Manager	Y
11-9199.11	Chief of Planning	Y
11-9199.11	Deputy Commissioner	N
11-9199.11	Director	Y
11-9199.11	Director of Development	N
11-9199.11	Environmental Program Manager	N
11-9199.11	Manager, Division of Environmental Quality	N
11-9199.11	Senior Environmental Practice Leader	N
13-1011.00	Agent	Y
13-1011.00	Artist Agent	N
13-1011.00	Artist Manager	N
13-1011.00	Artist Representative	N
13-1011.00	Athlete Marketing Agent	N
13-1011.00	Booking Agent	Y
13-1011.00	Talent Agent	Y
13-1011.00	Talent Buyer	N
13-1011.00	Talent Manager	N
13-1011.00	Theatrical Agent	Y
13-1021.00	Buyer	Y
13-1021.00	Grain Buyer	Y
13-1021.00	Grain Merchandiser	Y
13-1021.00	Grain Merchandising Manager	N
13-1021.00	Grain Origination Specialist	N
13-1021.00	Merchandiser	N
13-1021.00	Merchandising Manager	Y
13-1021.00	Procurement Manager	N
13-1021.00	Purchasing Agent	N
13-1021.00	Tobacco Buyer	N
13-1022.00	Buyer	Y
13-1022.00	Category Manager	Y
13-1022.00	Grocery Buyer	N
13-1022.00	Merchandise Manager	N
13-1022.00	Procurement Specialist	Y
13-1022.00	Product Manager	N
13-1022.00	Purchaser	N
13-1022.00	Purchasing Coordinator	N
13-1022.00	Retail Buyer	N
13-1022.00	Trader	Y
13-1023.00	Buyer	Y
13-1023.00	Procurement Specialist	Y
13-1023.00	Purchasing Administrator	N
13-1023.00	Purchasing Agent	Y
13-1023.00	Purchasing Manager	Y
13-1031.01	Claims Adjuster	Y
13-1031.01	Claims Analyst	N
13-1031.01	Claims Examiner	Y
13-1031.01	Claims Manager	N
13-1031.01	Claims Representative	Y
13-1031.01	Claims Specialist	Y
13-1031.01	Claims Supervisor	N
13-1031.01	Corporate Claims Examiner	N
13-1031.01	Customer Care Specialist	N
13-1031.01	Home Office Claim Specialist	N
13-1031.02	Claim Representative	N
13-1031.02	Claims Adjuster	Y
13-1031.02	Claims Analyst	Y
13-1031.02	Claims Examiner	Y
13-1031.02	Claims Representative	Y
13-1031.02	Claims Specialist	N
13-1031.02	Field Liability Generalist	N
13-1031.02	General Adjuster	N
13-1031.02	Independent Insurance Adjuster	N
13-1031.02	Litigation Claim Representative	N
13-1032.00	Appraiser	Y
13-1032.00	Automobile Appraiser (Auto Appraiser)	Y
13-1032.00	Automobile Damage Appraiser (Auto Damage Appraiser)	Y
13-1032.00	Damage Appraiser	N
13-1032.00	Field Appraiser	N
13-1032.00	Field Inspector	N
13-1032.00	Insurance Appraiser	N
13-1032.00	Material Damage Appraiser	Y
13-1032.00	Outside Physical Damage Appraiser	N
13-1032.00	Physical Damage Appraiser	N
13-1041.01	Compliance Investigator	N
13-1041.01	Enforcement Officer	Y
13-1041.01	Environmental Compliance Officer	Y
13-1041.01	Environmental Protection Specialist	N
13-1041.01	Environmental Quality Analyst	N
13-1041.01	Environmental Specialist	Y
13-1041.01	Oil Program Compliance Specialist	N
13-1041.01	Resource Conservation and Recovery Act Enforcement Officer (RCRA Enforcement Officer)	Y
13-1041.01	Toxics Program Officer	N
13-1041.01	Waste Management Specialist	N
13-1041.02	Driver Examiner	Y
13-1041.02	Driver License Agent	N
13-1041.02	Driver License Examiner	Y
13-1041.02	Examiner	Y
13-1041.02	License Examiner	N
13-1041.02	License Registration Examiner	N
13-1041.02	Licensing Analyst	N
13-1041.02	Motor Vehicle Clerk	N
13-1041.02	Public Service Representative (PSR)	Y
13-1041.02	Transportation Services Representative (TSR)	N
13-1041.03	Affirmative Action Officer (Aa Officer)	Y
13-1041.03	Civil Rights Investigator	Y
13-1041.03	Civil Rights Representative	N
13-1041.03	Complaint Investigations Officer	N
13-1041.03	Equal Employment Opportunity Officer (EEO Officer)	Y
13-1041.03	Equal Employment Opportunity Representative (EEO Representative)	N
13-1041.03	Equal Opportunity Commission Investigator (EOC Investigator)	N
13-1041.03	Equal Opportunity Director	N
13-1041.03	Equal Opportunity Specialist	N
13-1041.03	Field Representative	Y
13-1041.04	Airport Operations Officer	N
13-1041.04	Asset Manager	Y
13-1041.04	Construction Inspector	N
13-1041.04	Housing Inspector	Y
13-1041.04	Housing Management Representative	N
13-1041.04	Housing Quality Standard Inspector (HQS Inspector)	Y
13-1041.04	Inspector	N
13-1041.04	Quality Assurance Specialist	Y
13-1041.04	Quality Control Manager	N
13-1041.04	Sanitation Inspector	N
13-1041.06	Chief Deputy Coroner	N
13-1041.06	Coroner	Y
13-1041.06	Coroner/Medical Examiner	N
13-1041.06	County Coroner	Y
13-1041.06	Deputy Coroner	Y
13-1041.06	District Medical Examiner	N
13-1041.06	Elected County Coroner/Chief Medical Examiner	N
13-1041.06	Forensic Pathologist	N
13-1041.06	Medical Examiner	Y
13-1041.06	Medical Legal Investigator (MLI)	N
13-1041.07	Drug Regulatory Affairs Specialist	Y
13-1041.07	Quality Assurance/Regulatory Affairs Specialist (QA/RA Specialist)	N
13-1041.07	Regulatory Affairs Analyst	N
13-1041.07	Regulatory Affairs Associate	Y
13-1041.07	Regulatory Affairs Consultant	N
13-1041.07	Regulatory Affairs Specialist	Y
13-1041.07	Regulatory Affairs Strategy Specialist	N
13-1041.07	Regulatory Associate	N
13-1041.07	Regulatory Services Consultant	N
13-1041.07	Regulatory Submissions Associate	Y
13-1051.00	Construction Estimator	N
13-1051.00	Cost Analyst	N
13-1051.00	Cost Estimator	Y
13-1051.00	Design Consultant	N
13-1051.00	Estimator	Y
13-1051.00	Estimator Project Manager	Y
13-1051.00	Operations Manager	N
13-1051.00	Project Manager	Y
13-1051.00	Sales Engineer	N
13-1071.00	Corporate Recruiter	N
13-1071.00	Employment Coordinator	N
13-1071.00	Employment Representative	Y
13-1071.00	Employment Specialist	N
13-1071.00	Human Resources Coordinator	N
13-1071.00	Human Resources HR Generalist	Y
13-1071.00	Human Resources Specialist (HR Specialist)	Y
13-1071.00	Personnel Coordinator	N
13-1071.00	Recruiter	Y
13-1071.00	Technical Recruiter	N
13-1074.00	Farm Labor Contractor	Y
13-1074.00	Field Manager	Y
13-1074.00	Field Supervisor	Y
13-1075.00	Business Agent	Y
13-1075.00	Business Representative	Y
13-1075.00	Field Operations Coordinator	N
13-1075.00	Grievance Manager	N
13-1075.00	Labor Relations Director	Y
13-1075.00	Labor Relations Specialist	Y
13-1081.00	Integrated Logistics Support Manager (ILS Manager)	Y
13-1081.00	Logistician	Y
13-1081.00	Logistics Team Lead	Y
13-1081.00	Production Planner	Y
13-1081.01	Logistics Engineer	Y
13-1081.01	Reliability Engineer	Y
13-1081.01	Systems Engineer	Y
13-1081.02	Global Logistics Analyst	Y
13-1081.02	Logistics Analyst	Y
13-1081.02	Supply Chain Analyst	Y
13-1111.00	Administrative Analyst	Y
13-1111.00	Business Analyst	Y
13-1111.00	Employment Programs Analyst	Y
13-1111.00	Management Analyst	Y
13-1111.00	Program Management Analyst	N
13-1111.00	Quality Control Analyst	N
13-1121.00	Catering Manager	Y
13-1121.00	Conference Manager	N
13-1121.00	Conference Planner	N
13-1121.00	Conference Planning Manager	Y
13-1121.00	Conference Services Manager	Y
13-1121.00	Convention Services Manager (CSM)	Y
13-1121.00	Director of Conference Services	N
13-1121.00	Director of Events	N
13-1121.00	Event Manager	N
13-1121.00	Events Manager	N
13-1131.00	Development Director	Y
13-1131.00	Direct Response Consultant	Y
13-1131.00	Director of Development	Y
13-1131.00	Executive Director of Development and Alumni Relations	N
13-1131.00	Executive Director of Development, Gift Planning	Y
13-1131.00	Fundraising Consultant	N
13-1131.00	Principal Gifts Officer	N
13-1131.00	Vice President for Philanthropy	N
13-1131.00	Vice President of Major Gifts and Planned Giving	N
13-1131.00	Vice President, Marketing & Development	N
13-1141.00	Benefits Administrator	N
13-1141.00	Benefits Analyst	N
13-1141.00	Benefits Manager	N
13-1141.00	Benefits Specialist	N
13-1141.00	Compensation / Benefits Specialist	N
13-1141.00	Compensation Analyst	Y
13-1141.00	Human Resources Analyst	Y
13-1141.00	Human Resources Generalist	N
13-1141.00	Human Resources Specialist (HR Specialist)	Y
13-1141.00	Personnel Specialist	Y
13-1151.00	Computer Training Specialist	N
13-1151.00	Corporate Trainer	Y
13-1151.00	E-Learning Developer	N
13-1151.00	Job Training Specialist	Y
13-1151.00	Management Development Specialist	N
13-1151.00	Senior Instructor	Y
13-1151.00	Supervisory Training Specialist	Y
13-1151.00	Technical Trainer	N
13-1151.00	Trainer	N
13-1151.00	Training Specialist	N
13-1161.00	Business Development Specialist	N
13-1161.00	Client Service and Consulting Manager	N
13-1161.00	Client Services Vice President	N
13-1161.00	Communications Specialist	N
13-1161.00	Market Analyst	Y
13-1161.00	Market Research Analyst	Y
13-1161.00	Market Research Consultant	Y
13-1161.00	Market Research Manager	N
13-1161.00	Product Line Manager	N
13-1161.00	Project Manager	Y
13-1199.01	Building Performance Consultant	N
13-1199.01	Energy Auditor	Y
13-1199.01	Energy Consultant	Y
13-1199.01	Energy Rater	Y
13-1199.01	Home Energy Rater	N
13-1199.01	Home Performance Consultant	Y
13-1199.02	Consultant	Y
13-1199.02	Director, Security Risk Management	N
13-1199.02	Operations Staff Specialist, Security	N
13-1199.02	Physical Security Engineer	N
13-1199.02	Physical Security Specialist	Y
13-1199.02	Principal Engineer, Security Engineering and Applied Science	N
13-1199.02	Section Chief, Physical Security Specialist	N
